rockfall,CS1,CS2,CS3
0,1.89E-09,2.22E-11,4.15E-15
1,3.10E-08,1.89E-09,2.22E-11
2,3.45E-07,7.21E-08,1.28E-08
3,2.74E-06,1.42E-06,1.42E-06
4,1.63E-05,1.63E-05,4.66E-05
5,7.58E-05,0.000120361,0.000617979
6,0.000284104,0.000617979,0.004194642
7,0.000886094,0.002358693,0.017332014
8,0.002358693,0.007061962,0.049580086
9,0.005478194,0.017332014,0.108008978
10,0.011314286,0.036148605,0.192295646
11,0.021122308,0.065988036,0.294816321
12,0.036148605,0.108008978,0.404607662
13,0.057403436,0.161682814,0.511544834
14,0.085468866,0.224961794,0.608605318
15,0.120392262,0.294816321,0.692200628
16,0.161682814,0.367879441,0.76144922
17,0.208396621,0.440991026,0.817179487
18,0.259276866,0.511544834,0.861079349
19,0.312911698,0.577635844,0.895114927
20,0.367879441,0.638056167,0.921193655
21,0.4228626,0.692200628,0.941001954
22,0.476723691,0.739934055,0.955950446
23,0.528544566,0.781455585,0.967177474
24,0.577635844,0.817179487,0.975579597
25,0.623524916,0.847640317,0.981851073
26,0.665930705,0.873423018,0.986523079
27,0.704731959,0.895114927,0.989998515
28,0.739934055,0.913275261,0.992581074
29,0.771637607,0.928417664,0.994498624
30,0.800010713,0.941001954,0.995921568
